City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
554,Dolni Dabnik,43.41,24.45,30.99,92,75,4.7,BG,2020-01-06 01:29:21
555,Laguna,16.17,-88.94,73.4,73,75,5.61,BZ,2020-01-06 01:27:03
556,Sur,22.57,59.53,67.77,81,34,14.29,OM,2020-01-06 01:28:45
557,Nisia Floresta,-6.09,-35.21,80.6,78,40,6.93,BR,2020-01-06 01:31:20
558,Gualeguay,-33.15,-59.31,75.38,47,0,5.7,AR,2020-01-06 01:31:20
559,Wadi Maliz,36.47,8.55,50.0,87,40,4.7,TN,2020-01-06 01:31:20
560,Okato,-39.19,173.88,64.99,59,31,15.01,NZ,2020-01-06 01:31:20
561,Acajutla,13.59,-89.83,69.01,73,8,5.01,SV,2020-01-06 01:31:20
562,Rumford,44.55,-70.55,21.2,72,90,3.36,US,2020-01-06 01:31:20
563,Ust-Shonosha,61.15,41.34,12.09,91,0,5.86,RU,2020-01-06 01:31:20
564,Santona,43.44,-3.46,41.0,100,0,3.09,ES,2020-01-06 01:31:21
565,Dunedin,-45.87,170.5,55.99,52,70,41.0,NZ,2020-01-06 01:28:05
566,General Pico,-35.66,-63.75,62.92,94,100,9.46,AR,2020-01-06 01:31:21
